probe,vector_family,layers,alpha,seed,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,stock_prop_attractor_score,fantasy_prop_score,unfinished
endpoint_mid,endpoint,9-15,1.4,I am waiting for the printer,3,0.0,0.0,0.8491308555942702,0.4528630113706588,0.0,0.01144230769230769,0.24404761904761907,0.7166666666666667,0.30624999999999997,0.19066760505871894,0.4166666666666667,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,1.4,The laundry basket by the door,3,0.008384015594541909,0.022222222222222223,0.8896345029239766,0.610852691261896,0.0,0.08406746031746032,0.16666666666666666,0.5555555555555556,0.07222222222222223,0.1998912366852937,0.6666666666666666,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,1.4,The spreadsheet was still open,3,0.009453345747328356,0.023703703703703703,0.8127006838572056,0.6594320077864294,0.0,0.010916666666666667,0.16071428571428573,0.8722222222222222,0.6229166666666667,0.06756272790866429,0.6666666666666666,0.0,0.0,0.0
transition_early,transition,2-8,0.0,A blue mug near the sink,3,0.05965405594459005,0.1922222222222222,0.7441458333333334,0.40874236806328024,0.2976190476190476,0.041375,0.375,0.48333333333333334,0.05277777777777778,0.17158098560636006,0.6666666666666666,0.0,0.0,0.0
transition_early,transition,2-8,0.0,I am waiting for the printer,3,0.019974609221530524,0.044444444444444446,0.7475495189586869,0.1711290322580646,0.0,0.05345833333333333,0.5416666666666666,0.3055555555555555,0.0,0.5343904296875,0.5833333333333334,0.0,0.0,0.0
transition_early,transition,2-8,0.0,The laundry basket by the door,3,0.0,0.0,0.746564900476591,0.33004180571004826,0.0,0.059722222222222225,0.6458333333333334,0.2833333333333334,0.05277777777777778,0.5756268250325521,0.75,0.1111111111111111,0.0,0.0
transition_early,transition,2-8,0.0,The spreadsheet was still open,3,0.0,0.0,0.8448479532163743,0.6621178315412187,0.0,0.058681818181818175,0.3625,0.5750000000000001,0.28958333333333336,0.22684522239287405,0.75,0.0,0.0,0.0
transition_early,transition,2-8,0.8,A blue mug near the sink,3,0.0,0.0,0.8546464646464647,0.34345967741935485,0.0,0.128,0.2916666666666667,0.4444444444444444,0.05277777777777778,0.23703802880181205,0.75,0.0,0.0,0.0
transition_early,transition,2-8,0.8,I am waiting for the printer,3,0.0048592592592592585,0.014814814814814815,0.7485562128836302,0.707154415399827,0.0,0.01362179487179487,0.28750000000000003,0.6583333333333333,0.3444444444444444,0.19839537269360796,0.5833333333333334,0.0,0.0,0.0
transition_early,transition,2-8,0.8,The laundry basket by the door,3,0.0,0.0,0.8140980354637071,0.5788707205537017,0.0,0.07448214285714286,0.4166666666666667,0.5,0.2152777777777778,0.2991403574851707,0.75,0.0,0.0,0.0
transition_early,transition,2-8,0.8,The spreadsheet was still open,3,0.0,0.0,0.8980770309936976,0.29661809417871715,0.0,0.06619047619047619,0.625,0.27777777777777773,0.016666666666666666,0.5593361897786459,0.6666666666666666,0.0,0.0,0.0
transition_early,transition,2-8,1.1,A blue mug near the sink,3,0.011669925925925926,0.014814814814814815,0.894891812865497,0.23585570386849594,0.0,0.01283333333333333,0.4166666666666667,0.5,0.05277777777777778,0.42286966037326396,0.4166666666666667,0.0,0.0,0.0
transition_early,transition,2-8,1.1,I am waiting for the printer,3,0.014188205243084276,0.037037037037037035,0.8225405982905983,0.6844877487331603,0.0,0.04924242424242425,0.26666666666666666,0.5916666666666667,0.30833333333333335,0.17639752966462727,0.5833333333333334,0.0,0.0,0.0
transition_early,transition,2-8,1.1,The laundry basket by the door,3,0.0,0.0,0.9053333333333334,0.253233870967742,0.0,0.12083333333333333,0.8333333333333334,0.1111111111111111,0.0,0.7405026041666667,0.6666666666666666,0.0,0.0,0.0
transition_early,transition,2-8,1.1,The spreadsheet was still open,3,0.015624806066202318,0.04353662037838322,0.7431296839361355,0.5552409312816711,0.12500000000000003,0.022222222222222223,0.2708333333333333,0.7222222222222222,0.2541666666666667,0.1798931206597222,0.5,0.0,0.0,0.0
transition_early,transition,2-8,1.4,A blue mug near the sink,3,0.0,0.0,0.9136458333333334,0.16182258064516136,0.0,0.12563492063492063,0.25,0.4444444444444444,0.036111111111111115,0.20108506944444446,0.5833333333333334,0.0,0.0,0.0
transition_early,transition,2-8,1.4,I am waiting for the printer,3,0.0,0.0,0.9637598566308244,0.5589123717711039,0.0,0.0,0.0,1.0,0.45763888888888893,0.04247829861111111,0.16666666666666666,0.0,0.0,0.0
