probe,label,vector_family,layers,alpha,scope,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,stock_prop_attractor_score,fantasy_prop_score,unfinished
transition_early,"Transition, layers 2-8",transition,2-8,0.8,pool,48,0.0007040493038916974,0.0023148148148148147,0.8144185501095484,0.7235375065383495,0.006944444444444443,0.04780221787505795,0.23180803571428574,0.7166252150627151,0.4188368055555556,0.1516392255404489,0.6145833333333334,0.0,0.0,0.00375
transition_early,"Transition, layers 2-8",transition,2-8,0.8,picked,12,0.0012148148148148146,0.003703703703703704,0.8288444359968749,0.48152572688790024,0.0,0.07057360347985348,0.40520833333333334,0.4701388888888889,0.15729166666666666,0.3234774871898091,0.6875,0.0,0.0,0.0
transition_early,"Transition, layers 2-8",transition,2-8,1.1,pool,48,0.0045431588259916104,0.011746844137137944,0.813695996209355,0.6208381405375462,0.03767361111111111,0.0453666821117479,0.2458953373015873,0.6865755772005772,0.33315972222222223,0.18593918347181768,0.515625,0.006944444444444444,0.010416666666666666,0.0
transition_early,"Transition, layers 2-8",transition,2-8,1.1,picked,12,0.01037073430880313,0.023847118057558767,0.841473857106391,0.4322045637127674,0.03125000000000001,0.051282828282828284,0.44687499999999997,0.48125,0.15381944444444445,0.37991572871607,0.5416666666666666,0.0,0.0,0.0
transition_early,"Transition, layers 2-8",transition,2-8,1.4,pool,48,0.00038515355485509146,0.00125,0.8351260852344877,0.7009133653837666,0.0,0.038427020028582524,0.13608630952380954,0.8101348304473305,0.43884548611111107,0.10078063311285872,0.4583333333333333,0.013888888888888888,0.015104166666666669,0.012499999999999999
transition_early,"Transition, layers 2-8",transition,2-8,1.4,picked,12,0.0,0.0,0.8953084061204368,0.4675761957730813,0.0,0.0407198097041847,0.12708333333333333,0.7534722222222222,0.23958333333333334,0.1189271572961711,0.4375,0.0,0.0,0.0
transition_mid,"Transition, layers 9-15",transition,9-15,0.0,pool,48,0.009755020119827413,0.02763888888888889,0.8308159610247351,0.7457827102632182,0.018601190476190476,0.04999423563917807,0.2086123511904762,0.7271988428238428,0.4212673611111111,0.13184585443608812,0.5625,0.03472222222222222,0.044270833333333336,0.0
transition_mid,"Transition, layers 9-15",transition,9-15,0.0,picked,12,0.035719704895742894,0.09944444444444445,0.8672900776942472,0.5966431131592422,0.0744047619047619,0.06394427447552448,0.28854166666666664,0.6185185185185186,0.24600694444444446,0.18431592812827594,0.5833333333333334,0.0,0.0,0.0
transition_mid,"Transition, layers 9-15",transition,9-15,0.8,pool,48,0.0034135781647170443,0.009837962962962963,0.83425729438206,0.6855565169539551,0.01592261904761905,0.026091461686064025,0.2072358630952381,0.767335847023347,0.45698784722222224,0.1367733635453689,0.4895833333333333,0.006944444444444444,0.0078125,0.0
transition_mid,"Transition, layers 9-15",transition,9-15,0.8,picked,12,0.01163954703386818,0.033796296296296297,0.8414956735973028,0.556821687346611,0.0,0.017490036231884058,0.26674107142857145,0.6860660173160174,0.3979166666666667,0.19720941361343636,0.5416666666666666,0.0,0.0,0.0
