term,label,frequency,weighted_degree,degree_norm,betweenness,betweenness_norm,mean_frontier,max_frontier,mean_readability,mean_ontology,mean_unfinished,mean_stock_prop,mean_anchor,picked_frequency
bus,ordinary_anchor,13,53,0.12864077669902912,8.318536923907768,0.05489331513227706,0.20250771788199431,0.23676888807143012,0.6802306726323561,0.603738450026406,0.0,0.7692307692307693,0.9230769230769231,5
harmonium,stock_surreal_node,11,36,0.08737864077669903,7.1393532463915665,0.04711198269355218,0.2455525859254406,0.37928917788910393,0.8075472618852597,0.6166090948936535,0.0,0.9393939393939394,0.7954545454545454,6
greenhouse,scene_expansion_node,5,21,0.050970873786407765,6.494052418471346,0.04285369760974882,0.1972623363115881,0.2393715707615561,0.7506402892227755,0.5450820554210385,0.0,0.5333333333333333,0.85,2
moon,scene_expansion_node,11,33,0.08009708737864078,5.949122464507853,0.0392577513560315,0.23859701702084,0.39433344163075573,0.7724497346626067,0.6162764185365869,0.0,0.8787878787878788,0.7045454545454546,6
photograph,scene_expansion_node,6,28,0.06796116504854369,5.845249253255681,0.03857230090107476,0.23131268467472377,0.28532440688481064,0.712916640199741,0.625578681038725,0.0,0.8888888888888888,0.7777777777777778,2
fridge,ordinary_anchor,15,42,0.10194174757281553,5.692139976512413,0.03756194585248588,0.23483014425023724,0.37058179488856213,0.7870111515607198,0.5920893667918107,0.0,0.8666666666666667,0.9333333333333333,6
blue mug,ordinary_anchor,14,60,0.14563106796116504,5.588878312887265,0.03688053094812122,0.22440972053320055,0.38274115124288716,0.6673291629243333,0.6411852737007103,0.0,0.9285714285714286,0.9821428571428571,2
lace,scene_expansion_node,12,34,0.0825242718446602,4.939272337102043,0.03259383656102255,0.21230965884538977,0.30158515689390714,0.7614910542993553,0.558321624136202,0.0,0.6388888888888888,0.8541666666666666,6
cabinet,scene_expansion_node,6,22,0.05339805825242718,4.86596539130489,0.03211009028282036,0.22798320006614922,0.2647971309538526,0.7484394132024415,0.617060671304957,0.0,0.9444444444444445,0.75,2
box,scene_expansion_node,7,19,0.04611650485436893,4.815946173205375,0.03178001773197124,0.20205834434741163,0.255308411994003,0.7273752142949661,0.554964449817727,0.0,0.619047619047619,0.7142857142857143,3
rose,scene_expansion_node,11,35,0.08495145631067962,4.467476892956432,0.02948049869519849,0.2252062385992422,0.2850273346216405,0.743837954179596,0.6146322263920571,0.0,0.8787878787878788,0.9090909090909091,3
delivery label,ordinary_anchor,10,50,0.12135922330097088,4.459564187906635,0.029428283429963693,0.20999329752407267,0.30076240619416317,0.7225723948365357,0.5830037399202214,0.0,0.9,0.875,3
note,scene_expansion_node,5,22,0.05339805825242718,4.015457326361582,0.026497660157362178,0.2009304913297488,0.25553771953459586,0.6627545813597134,0.5921496633741217,0.0,0.6666666666666666,0.7,4
fog,scene_expansion_node,9,37,0.08980582524271845,3.876015576495116,0.02557749595204177,0.22659013437436556,0.38274115124288716,0.6960135303414928,0.612232219388729,0.0,0.7407407407407408,0.7777777777777778,2
folder,ordinary_anchor,6,28,0.06796116504854369,3.5958343355776154,0.023728603858092664,0.22023323265233316,0.30379340254083487,0.6980514057212205,0.6240027566872034,0.0,0.7222222222222222,0.6666666666666666,1
letter,scene_expansion_node,6,24,0.05825242718446602,3.541096797303891,0.023367395515146088,0.21474045131413486,0.25057058852229996,0.7872787043618507,0.5413036595220997,0.0,0.9444444444444445,0.5,4
teacup,scene_expansion_node,6,26,0.06310679611650485,3.296721477518399,0.02175478363853326,0.21731929527263005,0.2753508717173368,0.69633113514116,0.64875,0.0,0.8888888888888888,0.875,2
kettle,scene_expansion_node,4,22,0.05339805825242718,2.4870970388923683,0.016412141073521503,0.19438830313021016,0.21654601216034888,0.6598693722146421,0.5709725371220724,0.0,0.75,0.875,0
watch,stock_surreal_node,3,16,0.038834951456310676,2.152460901167798,0.014203905763539418,0.24234701486723528,0.28945159007826077,0.7077051753292142,0.6707073016077677,0.0,0.8888888888888888,0.9166666666666666,1
mirror,scene_expansion_node,4,15,0.03640776699029126,1.6783786966291177,0.011075477761067891,0.21722397884501984,0.2421685098039216,0.8011477622619703,0.5590922147643851,0.0,0.8333333333333333,0.9375,2
birdcage,stock_surreal_node,2,10,0.024271844660194174,1.6094897643729598,0.010620885577123252,0.23729231405803708,0.2647971309538526,0.7063156055074566,0.6557692307692309,0.0,0.5,1.0,1
map,scene_expansion_node,4,20,0.04854368932038835,1.1551230632112983,0.007622558498620188,0.20028035668045885,0.21692357493826428,0.7200717053066145,0.5357359679956344,0.0,0.8333333333333333,0.5,0
counter,ordinary_anchor,2,10,0.024271844660194174,0.7686688311688311,0.005072380007166938,0.2793570922871659,0.28529073752522704,0.7169192252129434,0.8048753157624127,0.0,0.8333333333333333,0.5833333333333333,0
receipt,ordinary_anchor,3,12,0.02912621359223301,0.7421189659397206,0.004897179712683372,0.18821730967632935,0.19343254648403577,0.6746346126456334,0.5565608465608466,0.0,0.7777777777777777,0.6388888888888888,3
plastic folder,ordinary_anchor,3,8,0.019417475728155338,0.503968253968254,0.003325643491733996,0.21147189187202844,0.2393715707615561,0.825670322342945,0.55,0.0,0.2222222222222222,0.9166666666666666,2
mug,ordinary_anchor,2,10,0.024271844660194174,0.1880952380952381,0.0012412244213243417,0.2829174523669034,0.3586553394721407,0.8213570958323124,0.6810721062618597,0.0,1.0,0.875,1
spreadsheet,ordinary_anchor,3,8,0.019417475728155338,0.15244708994708994,0.0010059853344418451,0.2037191677770027,0.20798865226130656,0.7043773415709742,0.554278841166096,0.0,0.4444444444444444,0.6666666666666666,2
wooden key,peripheral_node,1,8,0.019417475728155338,0.0,0.0,0.22422750979797335,0.22422750979797335,0.6044671901957285,0.6861832611832612,0.0,1.0,0.0,0
room,scene_expansion_node,1,7,0.01699029126213592,0.0,0.0,0.25553771953459586,0.25553771953459586,0.6686540791410535,0.730921052631579,0.0,0.3333333333333333,0.75,0
ticket,scene_expansion_node,1,7,0.01699029126213592,0.0,0.0,0.21654601216034888,0.21654601216034888,0.6364590917258091,0.6507237386269644,0.0,1.0,1.0,0
label,ordinary_anchor,4,6,0.014563106796116505,0.0,0.0,0.22773800741937983,0.2581264760425532,0.8726688829576495,0.5570370370370371,0.0,0.41666666666666663,0.375,1
elevator button,ordinary_anchor,1,4,0.009708737864077669,0.0,0.0,0.2068531169323767,0.2068531169323767,0.7150572519083969,0.570093824790023,0.0,0.6666666666666666,1.0,0
brass key,scene_expansion_node,2,4,0.009708737864077669,0.0,0.0,0.18363637176542716,0.18604031805310456,0.6842866540986263,0.5171317942723554,0.0,0.6666666666666666,1.0,1
doll,stock_surreal_node,1,3,0.007281553398058253,0.0,0.0,0.17977144682185092,0.17977144682185092,0.6571030487938992,0.5560606060606061,0.0,1.0,1.0,0
