condition,prompt_mode,alpha,seed_count,candidate_count,candidate_fraction,minimum_anchor_coverage,anchor_phrase_coverage,ontology_collapse_density,syntax_readability_proxy,readable_ontology_frontier,traceable_transport_score,surface_style_pressure,decoration_without_transport,cliche_attractor_score,fantasy_prop_score,semantic_loop_pressure,unbridged_novelty,object_budget_pressure,unfinished,decorative_near_miss_rate,stable_rate,readable_transport_rate,failure_rate,mixed_rate,anchor_full_rate,anchor_traceable_rate
projected,operational,0.0,4,16,1.0,0.0,0.875,0.0643148501162206,0.6601913322394601,0.020807519429169603,0.048955149415722134,0.0,0.0,0.041666666666666664,0.025,0.1887821396668032,0.7419126259673092,1.0,0.0,0.0,0.6875,0.0625,0.25,0.0,0.625,0.875
projected,operational,0.3,4,16,1.0,0.0,0.796875,0.010615914931657321,0.6720363335405055,0.003364408732043801,0.05083933233580698,0.020833333333333332,0.01268321020434086,0.10416666666666666,0.0234375,0.1421529563594341,0.7551098026780065,1.0,0.0,0.0625,0.625,0.0,0.3125,0.0,0.375,0.8125
projected,operational,0.6,4,16,1.0,0.0,0.640625,0.11553902116402118,0.6670299937466098,0.03674583497780117,0.05466945672835418,0.08333333333333333,0.03266094000598224,0.041666666666666664,0.03125,0.10214806485128355,0.7602851160662012,0.996484375,0.0,0.125,0.25,0.1875,0.4375,0.0,0.3125,0.5625
projected,operational,0.9,4,16,1.0,0.0,0.484375,0.1772453703703704,0.6797009190225533,0.05935008454343476,0.05753358147544485,0.041666666666666664,0.01871858961393245,0.0625,0.03125,0.09083480868467282,0.778108884901648,0.946875,0.0,0.0625,0.0625,0.1875,0.6875,0.0,0.125,0.3125
projected,operational,1.2,4,16,1.0,0.0,0.390625,0.03743055555555556,0.6531802810072844,0.009857102157884923,0.06125705640643947,0.041666666666666664,0.00956101112923697,0.041666666666666664,0.053125,0.07421582673598803,0.8308859614979159,0.91875,0.05,0.0,0.125,0.0,0.875,0.0,0.0,0.125
factorized,operational,0.0,4,16,1.0,0.0,0.875,0.0643148501162206,0.6601913322394601,0.020807519429169603,0.048955149415722134,0.0,0.0,0.041666666666666664,0.025,0.1887821396668032,0.7419126259673092,1.0,0.0,0.0,0.6875,0.0625,0.25,0.0,0.625,0.875
factorized,operational,0.3,4,16,1.0,0.0,0.8125,0.11687709492323269,0.6467993113029005,0.040688443622522386,0.06275993660003702,0.020833333333333332,0.0032898040332059947,0.041666666666666664,0.03125,0.14368826084969022,0.6923258692045702,0.9716145833333333,0.0,0.0,0.5625,0.125,0.3125,0.0,0.4375,0.8125
factorized,operational,0.6,4,16,1.0,0.0,0.6875,0.043605367684282956,0.6744584895451972,0.014636434785127416,0.050681531184702575,0.10416666666666666,0.04485826666146538,0.041666666666666664,0.0,0.08399008600095557,0.7784923725801536,1.0,0.0,0.1875,0.375,0.0625,0.375,0.0,0.25,0.625
factorized,operational,0.9,4,16,1.0,0.0,0.40625,0.11053374689947966,0.6725911986711862,0.023928572483380983,0.04742787598619681,0.041666666666666664,0.007399425857348711,0.08333333333333333,0.03125,0.04419642857142857,0.8389405642666512,0.968359375,0.025,0.0,0.125,0.125,0.75,0.0,0.125,0.25
factorized,operational,1.2,4,16,1.0,0.0,0.3125,0.0431958020839343,0.7031262747250075,0.015151719556121513,0.043907464017205314,0.041666666666666664,0.0038866876035268576,0.0,0.0,0.04820317550096963,0.8897811263813585,0.936328125,0.0,0.0,0.1875,0.0,0.8125,0.0,0.0,0.1875
