scope,contrast,left,right,metric,seed_pairs,mean_delta,median_delta,ci95_low,ci95_high,positive_seed_fraction
exact_anchor,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,anchor_phrase_coverage,12,0.0,0.0,0.0,0.0,0.0
exact_anchor,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,ontology_collapse_density,12,0.15923441132250862,0.14601801242972584,0.06018334840952761,0.2494387640586116,0.8333333333333334
exact_anchor,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,syntax_readability_proxy,12,0.025403610213995523,0.017371714786442116,-0.003918687043676582,0.06647028284816606,0.5833333333333334
exact_anchor,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,decoration_without_transport,12,0.052313601282495424,0.04746396348678444,-0.02209466257930918,0.1281684169570362,0.6666666666666666
exact_anchor,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,decorative_near_miss_rate,12,-0.06746031746031746,0.0,-0.18015873015873018,0.04266369047619042,0.3333333333333333
exact_anchor,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,readable_transport_rate,12,0.19999999999999998,0.17857142857142855,0.048204365079365076,0.33591765873015866,0.75
exact_anchor,naive_corridor_steering_gain,naive alpha=0.60,naive alpha=0.00,failure_rate,12,0.1800595238095238,0.18333333333333335,0.07519345238095239,0.2844370039682538,0.75
exact_anchor,operational_corridor_steering_gain,operational alpha=0.60,operational alpha=0.00,anchor_phrase_coverage,12,0.0,0.0,0.0,0.0,0.0
exact_anchor,operational_corridor_steering_gain,operational alpha=0.60,operational alpha=0.00,ontology_collapse_density,12,0.014635295029145906,-0.0010403090271768139,-0.045978889131327465,0.07860834161824608,0.5
exact_anchor,operational_corridor_steering_gain,operational alpha=0.60,operational alpha=0.00,syntax_readability_proxy,12,0.019022935195821034,0.020639640099179235,0.007122009139395604,0.030372950272241083,0.75
exact_anchor,operational_corridor_steering_gain,operational alpha=0.60,operational alpha=0.00,decoration_without_transport,12,0.0483030226403253,0.035774675252921634,0.017108761840241033,0.0828528872783215,0.75
exact_anchor,operational_corridor_steering_gain,operational alpha=0.60,operational alpha=0.00,decorative_near_miss_rate,12,0.14285714285714288,0.10714285714285715,0.03571180555555556,0.2618080357142857,0.5833333333333334
exact_anchor,operational_corridor_steering_gain,operational alpha=0.60,operational alpha=0.00,readable_transport_rate,12,0.06726190476190476,0.0,-0.046845238095238086,0.1880952380952381,0.3333333333333333
